mu,sigma2,phi,nugget,correct_d,correct_subd,correct_school_d,correct_school_subd,overtreated_d,overtreated_subd,undertreated_d,undertreated_subd,se_d,se_subd,sp_d,sp_subd,ppv_d,ppv_subd,npv_d,npv_subd,prev_sim,prevl10
-2.207603488214026,1.661508222318186,41.74319353726743,0.31187785078332764,0.8252413333333334,0.7466666666666667,0.6662746666666667,0.6869346666666667,0.23347866666666667,0.17017,0.10024666666666666,0.14289533333333335,0.7910544198343414,0.7054982233525265,0.5337578812510079,0.661307957382891,0.6236014513738106,0.6686278392770746,0.728970054701739,0.6993763955953954,0.15766277871802406,0.5084373333333333
-7.656079145748784,4.055770712473735,41.74319353726743,0.31187785078332764,0.998438,0.9947726666666666,0.994608,0.992276,0.001618,0.004534666666666667,0.003774,0.0031893333333333335,0.0457742137354671,0.16715873224941283,0.9983675130297458,0.9954340169524069,NaN,NaN,0.9962155813543627,0.9967837654207843,0.0035471972196726817,0.9958006666666667
-6.624185416335835,4.055770712473735,41.74319353726743,0.31187785078332764,0.9907666666666667,0.9785486666666666,0.977134,0.9712226666666667,0.008922666666666667,0.01701,0.013943333333333334,0.011767333333333333,0.13519089139587342,0.272344503456615,0.9908577064721694,0.9826239979332843,NaN,0.2096719844187817,0.9858370564264075,0.9879044433501061,0.009450595817627626,0.9830446666666667
-5.959128927592053,4.055770712473735,41.74319353726743,0.31187785078332764,0.969998,0.956732,0.9480666666666666,0.9435233333333334,0.023037333333333333,0.032919333333333335,0.028896,0.023557333333333333,0.17673439875209138,0.32790684564685457,0.9757524171433788,0.9655473700920092,NaN,0.2654464130957601,0.9699497400094763,0.9750633788931599,0.016920135157203944,0.9630493333333333
-5.580704122317411,4.055770712473735,41.74319353726743,0.31187785078332764,0.9611506666666667,0.9371006666666667,0.92535,0.9209393333333333,0.034934,0.04509333333333333,0.039716,0.033967333333333335,0.2611696675808972,0.36701206285436644,0.9625856698477261,0.9519130535717654,NaN,0.3090905810626236,0.9579127799394842,0.9633258012994148,0.02341559708662667,0.9444006666666667
-5.341920751316607,4.055770712473735,41.74319353726743,0.31187785078332764,0.954368,0.9327113333333333,0.914402,0.9125893333333334,0.042386,0.049627333333333336,0.043212,0.037783333333333335,0.30322150409676313,0.39699450723502777,0.9540224725297239,0.9464326954741975,NaN,0.34019190047163544,0.9534536365817645,0.9586769936406372,0.027127107368429295,0.9344653333333334
-5.150676553576746,4.055770712473735,41.74319353726743,0.31187785078332764,0.9411146666666667,0.919944,0.8998806666666667,0.8988126666666667,0.049625333333333334,0.058723333333333336,0.050494,0.042464,0.3131048696437653,0.42783668944055375,0.9456288090380176,0.9359385053965025,NaN,0.35369909633896396,0.9450800783510073,0.9527996260940365,0.030852766701833283,0.9235393333333334
-4.988156673204861,4.055770712473735,41.74319353726743,0.31187785078332764,0.929724,0.9053893333333334,0.8776120000000001,0.8821353333333334,0.06604933333333333,0.067142,0.05633866666666667,0.050722666666666666,0.3555793403223466,0.4318203812110559,0.9261239341952224,0.9254822932274421,0.34093372401100486,0.3687717092434891,0.9367597093960051,0.94268567877773,0.036162741309277525,0.9074333333333333
-4.855871665726434,4.055770712473735,41.74319353726743,0.31187785078332764,0.9231393333333333,0.8963353333333334,0.866212,0.871772,0.07198666666666667,0.07303933333333333,0.06180133333333333,0.055188666666666664,0.36743710356149917,0.443210655937225,0.9185748785725253,0.917850289907715,NaN,0.38091934084917267,0.9297707652745378,0.9366385500058045,0.03969747828033411,0.8973373333333333
-4.029492417271244,4.055770712473735,41.74319353726743,0.31187785078332764,0.8736046666666667,0.8464413333333334,0.783294,0.8091633333333333,0.13324266666666668,0.107084,0.08346333333333333,0.08375266666666667,0.527166181842972,0.5358102069115028,0.8327031444913706,0.8664623909135137,0.42365922143381096,0.47742803593672806,0.8888386349086589,0.8923082246401232,0.06973127462001222,0.813164
