country,year,positive,examined,long,lat,utm_x,utm_y
Malawi,2018,0,29,33.7764343,-13.8919725,583.8890506309622,8464.084470067202
Malawi,2018,0,30,35.0551647,-15.8093431,720.1330708457316,8251.077920402266
Malawi,2018,0,30,34.77676447,-15.4360091,690.6493019168848,8292.661563571177
Malawi,2018,0,30,35.2702556,-15.918821,743.0504441991854,8238.7229565879
Malawi,2018,0,30,34.99992717,-15.76389507,714.2621552410973,8256.164742251589
Malawi,2018,0,30,33.34691388,-13.89592329,537.4805026030464,8463.756760899623
Malawi,2018,0,30,35.0104054,-15.7460723,715.4039346136293,8258.126513786083
Malawi,2018,0,28,33.9453616,-11.2673682,603.1850966251494,8754.29094129989
Malawi,2018,0,30,33.8429787,-11.0353649,592.0823366806942,8779.980578627015
Malawi,2018,0,30,34.0256605,-11.4516321,611.8786056196003,8733.88381402811
Malawi,2018,0,30,35.019648,-15.6484158,716.4976952849977,8268.924740890672
Malawi,2018,0,28,33.42850363,-12.24503536,546.604357528691,8646.313633386084
Malawi,2018,0,30,34.6555005,-15.524926,677.5583675295173,8282.926783579109
Malawi,2018,0,29,33.93746095,-14.18846832,601.1580860516634,8431.227011214853
Malawi,2018,0,29,33.4034578,-11.9452162,543.9292321984838,8679.472224767678
Malawi,2018,0,29,34.7662697,-14.98891,689.9232018197371,8342.143314512728
Malawi,2018,0,28,33.56014562,-13.93222062,560.5091063649037,8459.698517561887
Malawi,2018,1,30,35.3117778,-15.891505,747.5312506862283,8241.697777848321
Malawi,2018,1,30,34.8200202,-15.4585494,695.2709248714505,8290.128520723536
Malawi,2018,0,29,33.444,-11.941,548.3443672937248,8679.931697736636
Malawi,2018,0,30,34.9833825,-15.81052084,712.4404153092505,8251.021461044822
Malawi,2018,0,30,35.0894728,-15.698259,723.9310536328896,8263.33592086294
Malawi,2018,0,30,34.0222569,-11.4754929,611.4979478293269,8731.246360469799
Malawi,2018,0,30,33.6111716,-11.379959,566.6809390567314,8741.937617304948
Malawi,2018,0,30,33.97237333,-14.00939619,605.0075648694838,8451.018800010204
Malawi,2018,3,30,34.8483604,-15.2039066,698.5528942049707,8318.280705440304
Malawi,2018,0,30,33.3928248,-12.1675336,542.7362682126677,8654.88983706288
Malawi,2018,0,30,35.02434272,-15.59296372,717.0595379961491,8275.056829346586
Malawi,2018,0,30,33.89687013,-11.48686957,597.81693702967,8730.033828414607
Malawi,2018,0,30,35.0091363,-15.7740559,715.2384010745075,8255.03085399865
Malawi,2018,0,30,33.6085808,-14.1074381,565.6915624998451,8440.30648159256
Malawi,2018,0,30,33.8183377,-13.1651166,588.685342589074,8544.46028476136
Malawi,2018,0,24,33.778055,-14.0143571,584.0198409380149,8450.547712125775
Malawi,2018,0,30,34.7908615,-14.5939935,692.9170635989991,8385.819483245627
Malawi,2018,0,30,34.630071,-15.255847,675.0551835202006,8312.720508398083
Malawi,2018,0,29,33.9929883,-11.4554607,608.3129424694503,8733.47287923437
Malawi,2018,0,26,33.7891659,-13.9866856,585.2299401587937,8453.604326541657
Malawi,2018,0,30,34.9368242,-15.4748503,707.7906189180292,8288.215019087682
Malawi,2018,0,30,34.0465694,-11.432501,614.1672396798612,8735.991348300484
Malawi,2018,1,30,35.0206674,-15.2305398,717.0413858982596,8315.169292965387
Malawi,2018,0,30,33.7048247,-12.2114352,576.6680310337731,8649.9663473529
Malawi,2018,0,30,34.9506049,-15.6981493,709.0434244500576,8263.490140332065
Malawi,2018,0,30,33.8215667,-13.9987927,588.7247933185689,8452.253329963267
Malawi,2018,0,30,33.5796272,-12.5346305,562.9715942664386,8614.257697469382
Malawi,2018,0,26,33.345404189999996,-13.91890293,537.3137117422993,8461.21554164119
Malawi,2018,0,30,33.5852327,-14.1368933,563.1631182012384,8437.05509915356
Malawi,2018,0,30,33.8013087,-13.3310672,586.7809284156576,8526.11240414691
Malawi,2018,0,30,33.7569884,-14.2362603,581.665662234292,8426.01154629358
Malawi,2018,0,29,33.8195354,-14.0097276,588.5012238245104,8451.044633983678
Malawi,2018,1,30,33.909587,-14.2824646,598.1094883505991,8420.842011979761
Malawi,2018,1,30,35.1848263,-15.0467449,734.8836274833722,8335.340784477337
Malawi,2018,0,30,35.29277335,-15.7114981,745.7126658329709,8261.644860421407
Malawi,2018,0,29,34.0372776,-11.4574072,613.1436251199086,8733.240611850217
Malawi,2018,0,30,35.014622,-15.8816117,715.7120862745531,8243.12190127972
Malawi,2018,0,30,34.00271905,-13.39219629,608.5679223483565,8519.272053964696
Malawi,2018,2,30,33.838838,-14.2334098,590.4974529516463,8426.296588734029
Malawi,2018,0,29,34.66565907,-14.73729601,679.3096785412384,8370.066734670858
Malawi,2018,0,30,35.11688244,-14.84835358,727.7855923269583,8357.36796955704
Malawi,2018,0,30,34.9443327,-14.9856327,709.0792367960369,8342.345521595757
Malawi,2018,0,30,33.4524743,-13.6330748,548.9400379129377,8492.80764221282
Malawi,2018,0,28,33.812325800000004,-14.0443955,587.7094384768853,8447.21286981546
Malawi,2018,3,29,33.93975,-13.7785115,601.5848413759543,8476.570571770537
Malawi,2018,0,30,33.9141945,-13.2457255,599.0418429850887,8535.509107545346
Malawi,2018,0,29,33.9896499,-13.96873714,606.8922223578955,8455.508346898005
Malawi,2018,0,30,34.8254228,-14.6457474,696.5951429237002,8380.063284987022
Malawi,2018,0,29,33.6576944,-14.3128832,570.9291599531165,8417.569271792183
Malawi,2018,0,30,34.0674935,-13.4735546,615.5430345216921,8510.243885574631
Malawi,2018,0,29,34.0436578,-11.4694101,613.8348264538873,8731.910689283148
Malawi,2018,0,30,33.9121175,-13.1065162,598.8726835624636,8550.906531353252
Malawi,2018,0,30,33.4037471,-11.8148968,543.981637561578,8693.882849889229
Malawi,2018,0,29,33.49040603,-11.85764029,553.4136049557721,8689.141171026467
Malawi,2018,0,29,33.37053648,-11.77521522,540.3696362310772,8698.275787561357
Malawi,2018,0,30,35.0319979,-14.9374388,718.558334470215,8347.594240369033
Malawi,2018,0,30,33.4751991,-11.224971,551.8733654387632,8759.103357931484
Malawi,2018,0,26,34.9551464,-15.2632046,709.9688645855985,8311.618710773984
Malawi,2018,0,29,33.7372056,-13.952119100000001,579.6298168049653,8457.445550177554
Malawi,2018,0,28,33.8606285,-13.1125305,593.2886672751771,8550.26094175923
Malawi,2018,0,30,34.81026125,-15.43162448,694.2486581518585,8293.116785611295
Malawi,2018,13,29,35.2323253,-15.6038808,739.3570111441035,8273.625625772085
Malawi,2018,0,30,34.7108402,-15.4146092,683.5924960073742,8295.086824385284
Malawi,2018,0,30,35.03260985,-15.12019287,718.4380533050221,8327.369087837227
Malawi,2018,2,30,34.946734,-14.7791346,709.5370275807916,8365.194149989247
Malawi,2018,0,30,34.6121214,-15.4555984,672.9623894335635,8290.633206878902
Malawi,2018,0,30,34.752441,-15.0497798,688.382423681151,8335.419903804204
Malawi,2018,0,30,33.9107038,-13.1591237,598.6984135773021,8545.088695700648
Malawi,2018,2,29,33.9114532,-14.0791407,598.3984469068113,8443.33069444817
Malawi,2018,0,30,33.5657932,-11.6085131,561.6801091712882,8716.674337841943
Malawi,2018,0,29,33.4493996,-11.4273194,549.0225351639734,8736.732898766124
Malawi,2018,0,29,33.5895709,-11.8906069,564.2069584267081,8685.47472491676
Malawi,2018,0,30,34.0217504,-11.459405,611.4490067503425,8733.025721172991
